trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
225,False,"{'a': 0.5, 'e': 0.10421225282987544}",20,0,28.450201055812634,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.5, 'e': 0.10317013030157669}",30,20,18.978015168976537,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
227,False,"{'a': 0.5, 'e': 0.10213842899856092}",25,0,12.946058354686837,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
228,False,"{'a': 0.5, 'e': 0.10111704470857531}",20,13,14.886544758318617,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.5, 'e': 0.10010587426148955}",30,0,37.648542693506556,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
230,False,"{'a': 0.5, 'e': 0.09910481551887466}",30,14,26.92298319383424,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.5, 'e': 0.0981137673636859}",20,0,31.85300168125541,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
232,False,"{'a': 0.5, 'e': 0.09713262969004904}",30,3,-11.099662613935221,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 1}",1
233,False,"{'a': 0.5, 'e': 0.09616130339314856}",20,11,14.738855722647138,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
234,False,"{'a': 0.5, 'e': 0.09519969035921708}",30,12,7.463315160097383,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
235,False,"{'a': 0.5, 'e': 0.0942476934556249}",20,7,25.276095526649645,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
236,False,"{'a': 0.5, 'e': 0.09330521652106866}",25,11,22.787668031836617,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
237,False,"{'a': 0.5, 'e': 0.09237216435585796}",25,12,9.449572598267917,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
238,False,"{'a': 0.5, 'e': 0.09144844271229938}",25,15,20.921920702331374,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
239,False,"{'a': 0.5, 'e': 0.0905339582851764}",20,9,9.819460418403583,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
240,False,"{'a': 0.5, 'e': 0.08962861870232462}",20,6,25.014409388118803,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
241,False,"{'a': 0.5, 'e': 0.08873233251530138}",20,11,16.950149822728175,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
242,False,"{'a': 0.5, 'e': 0.08784500919014836}",25,1,-19.381368596353862,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 1}",1
